INFO 2025-03-25 23:18:51,967 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-25 23:18:51,968 autoreload Waiting for apps ready_event.
DEBUG 2025-03-25 23:18:52,007 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-25 23:18:52,024 autoreload Watching dir C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\productos\templates with glob **/*.
DEBUG 2025-03-25 23:18:52,026 autoreload Watching dir C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\locale with glob **/*.mo.
DEBUG 2025-03-25 23:18:52,026 autoreload Watching dir C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\productos\locale with glob **/*.mo.
DEBUG 2025-03-25 23:18:52,080 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-25 23:18:52,084 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-25 23:18:52,162 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\iterators.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1740858008.7699752
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1740858008.7198088
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\context.py first seen with mtime 1740858008.8952649
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\urls\base.py first seen with mtime 1740858008.9241025
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\concurrent\futures\__init__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1740858006.2653134
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\forms\formsets.py first seen with mtime 1740858008.8117707
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\decorators.py first seen with mtime 1740858008.9409146
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\threading.py first seen with mtime 1613764528.0
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\encoders.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1740858008.9837482
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1740858006.266314
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1740858008.680969
DEBUG 2025-03-25 23:18:52,163 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\apps\__init__.py first seen with mtime 1740858005.3330784
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\forms\renderers.py first seen with mtime 1740858008.8128088
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1740858008.9409146
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\generator.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\sre_compile.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\wsgiref\simple_server.py first seen with mtime 1613764528.0
DEBUG 2025-03-25 23:18:52,165 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1740858008.6754484
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\__init__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\response.py first seen with mtime 1740858008.9029186
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1740858008.7121785
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1740858008.9120727
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\ssl.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\concurrent\futures\thread.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\encoding.py first seen with mtime 1740858008.943964
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\engine.py first seen with mtime 1740858008.897265
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1740858006.5271451
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1740858004.2083137
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\signing.py first seen with mtime 1740858008.6407206
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1740858007.8331802
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1740858008.7218404
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1740858004.211928
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1740858008.962117
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\subprocess.py first seen with mtime 1613764526.0
